author_name,coauthor_name
Maria Recalde,AS Kemp
Matthew Backus,Aaron Bramson
Abhinay Muthoo,A ALESINA
Sng Tuan Hwee,Adrien Bouguen
Mehmet Ozmen,Aaron Schiff
B. Douglas Bernheim,A DiVenere
Luca Fornaro,AP Sage
Ian Krajbich,A de Paula
Helen F. Ladd,A Villarreal
Terry Cheng,AgnÃ¨s FestrÃ©
Vincent Conitzer,Aidas Masiliunas
Orazio Attanasio,Abraham P Buunk
Yao Luo,Akhilesh Kumar Patel
Allan Collard-Wexler,A Baujard
Antonella Trigari,A Chesher
Varouj A Aivazian,Aico van Vuuren
Song Changcheng,Adrien Vigier
Robert J. Barro,Adi Greif
Holger Sieg,A Yavrouian
Frederico Finan,A Schmutzler
Atila Abdulkadiroglu,A Dan Tarlock
Bernard Yeung,A Fefferman
Daniele Nosenzo,A Lem
Arnold C. Harberger,A Craig Burnside
Ben Etheridge,A Drazen
Alexander Vostroknutov,A Baglino
Dan Bernhardt,A Kovetz
Toshihiko Mukoyama,Ahmet Ali TaskÄ±n
Kenneth Rogoff,ALEXIA LEE
Johannes MÃ¼nster,AG Drabek
Andres Rodriguez-Clare,A Bovenberg
Michele Tertilt,Abdeljouad Ezzrari
Adrien Blanchet,A Agrawal
Christopher Phelan,A Jones
Robert Dur,Adelle CF Coster
Juan Francisco Jimeno,AK Agrawal
